,effort,effort,volume,volume,difficulty,difficulty
,mean,std,mean,std,mean,std
circuit,,,,,,
Bell,6403.092,3334.914,338.508,115.922,18.269,4.63
GHZ,8267.675,2137.658,425.994,78.394,19.548,4.722
Ansatz,7777.823,1509.817,417.086,62.608,18.746,3.18
QAOA,7653.722,1009.723,412.957,67.487,18.757,2.583
QFT,14948.174,2686.994,588.051,90.219,25.55,3.669
DJ,18425.214,7296.673,618.586,193.507,29.576,6.32
Teleport,19546.928,5984.847,630.7,79.205,30.777,8.149
Grover,51299.412,10066.309,1013.75,185.116,51.227,10.119
