dataset,circuit,sdk,n1,n2,N1,N2,vocabulary,length,volume,difficulty,effort
With_import,bell,cirq_bell,10,10,38,26,20,64,276.6033980727912,13.0,3595.844174946286
With_import,bell,pennylane_bell,14,11,34,25,25,59,273.9875151967087,15.90909090909091,4358.892287220367
With_import,bell,qiskit_bell,12,12,44,31,24,75,343.8721875540867,15.5,5330.018907088343
With_import,bell,qsharp_bell,19,17,73,38,36,111,573.8616751600966,21.235294117647058,12186.121454870286
With_import,DJ,cirq_dj,11,11,76,46,22,122,544.0506574737502,23.0,12513.165121896254
With_import,DJ,pennylane_dj,15,12,59,42,27,101,480.2436377185103,26.25,12606.395490110895
With_import,DJ,qiskit_dj,13,13,77,51,26,128,601.6562839220597,25.5,15342.235240012524
With_import,DJ,qsharp_dj,19,19,130,59,38,189,991.8583000408375,29.5,29259.81985120471
With_import,GHZ,cirq_ghz,10,12,54,36,22,90,401.34884567735673,15.0,6020.232685160351
With_import,GHZ,pennylane_ghz,14,12,48,32,26,80,376.0351774512873,18.666666666666664,7019.32331242403
With_import,GHZ,qiskit_ghz,12,13,60,41,25,101,469.02947516724714,18.923076923076923,8875.480837780215
With_import,GHZ,qsharp_ghz,16,19,73,43,35,116,594.9968299656161,18.105263157894736,10772.574184640629
With_import,Grover,cirq_grover,12,9,162,82,21,244,1071.7254511580177,54.666666666666664,58587.6579966383
With_import,Grover,pennylane_grover,15,14,107,80,29,187,908.442446088856,42.85714285714286,38933.2476895224
With_import,Grover,qiskit_grover,12,11,124,74,23,198,895.6652672992885,40.36363636363637,36152.30715280765
With_import,Grover,qsharp_grover,19,18,184,76,37,260,1354.4578750635271,40.111111111111114,54328.81032199259
With_import,P_ansatz,cirq_ansatz,12,12,64,40,24,104,476.8361000750002,20.0,9536.722001500004
With_import,P_ansatz,pennylane_ansatz,15,13,49,36,28,85,408.6251683748963,20.76923076923077,8486.830420094
With_import,P_ansatz,qiskit_ansatz,11,15,47,38,26,85,399.5373760419928,13.933333333333334,5566.887439518433
With_import,P_ansatz,qsharp_ansatz,15,18,64,38,33,102,514.5282001745622,15.833333333333334,8146.696502763903
With_import,qaoa,cirq_qaoa,17,19,54,42,36,96,496.31280013846197,18.789473684210527,9325.45629733847
With_import,qaoa,pennylane_qaoa,19,14,44,31,33,75,378.329558951884,21.03571428571429,7958.432507952132
With_import,qaoa,qiskit_qaoa,16,17,45,35,33,80,403.5515295486763,16.470588235294116,6646.731074919373
With_import,qaoa,qsharp_qaoa,15,18,64,38,33,102,514.5282001745622,15.833333333333334,8146.696502763903
With_import,QFT,cirq_qft,13,14,85,57,27,142,675.1940253072125,26.46428571428571,17868.52759830873
With_import,QFT,pennylane_qft,16,15,63,47,31,110,544.9615941425562,25.066666666666666,13660.370626506743
With_import,QFT,qiskit_qft,12,16,62,51,28,113,543.2311061925092,19.125,10389.294905931738
With_import,QFT,qsharp_qft,18,17,102,41,35,143,733.4874714231302,21.705882352941174,15920.992762066764
With_import,teleport,cirq_teleport,15,12,96,51,27,147,698.9684628180298,31.875,22279.6197523247
With_import,teleport,pennylane_teleport,16,16,63,46,32,109,545.0,23.0,12535.0
With_import,teleport,qiskit_teleport,15,14,88,58,29,146,709.2652252886255,31.071428571428573,22037.883785753722
With_import,teleport,qsharp_teleport,20,18,90,44,38,134,703.2222868014404,24.444444444444446,17189.878121812988
Without_import,bell,cirq_bell,10,9,38,24,19,62,263.3715058335023,13.333333333333332,3511.62007778003
Without_import,bell,pennylane_bell,14,8,34,21,22,55,245.26873902505136,18.375,4506.8130795853185
Without_import,bell,qiskit_bell,12,6,42,25,18,67,279.3849750966349,25.0,6984.624377415872
Without_import,bell,qsharp_bell,17,10,67,28,27,95,451.7143127055295,23.799999999999997,10750.800642391601
Without_import,DJ,cirq_dj,11,10,76,44,21,120,527.0780907334513,24.200000000000003,12755.289795749522
Without_import,DJ,pennylane_dj,15,9,59,38,24,97,444.7413625699521,31.666666666666668,14083.476481381818
Without_import,DJ,qiskit_dj,13,7,75,45,20,120,518.6313713864835,41.785714285714285,21671.38230436377
Without_import,DJ,qsharp_dj,17,12,124,49,29,173,840.4307121570699,34.70833333333333,29169.949301118297
Without_import,GHZ,cirq_ghz,10,11,54,34,21,88,386.5239332045309,15.454545454545453,5973.551694979114
Without_import,GHZ,pennylane_ghz,14,9,48,28,23,76,343.790708660333,21.77777777777778,7486.997655269474
Without_import,GHZ,qiskit_ghz,12,7,58,35,19,93,395.0572587502534,30.0,11851.717762507602
Without_import,GHZ,qsharp_ghz,14,11,66,29,25,95,441.16633802859883,18.454545454545453,8141.524238164141
Without_import,Grover,cirq_grover,12,8,162,80,20,242,1045.9065989627418,60.0,62754.39593776451
Without_import,Grover,pennylane_grover,15,11,107,76,26,183,860.1804684198198,51.81818181818182,44572.987909027026
Without_import,Grover,qiskit_grover,12,6,123,69,18,192,800.6256002769239,69.0,55243.16641910775
Without_import,Grover,qsharp_grover,17,11,178,66,28,244,1172.9946009820553,51.0,59822.72465008482
Without_import,P_ansatz,cirq_ansatz,12,11,64,36,23,100,452.3561956057013,19.636363636363637,8882.63075007559
Without_import,P_ansatz,pennylane_ansatz,15,10,49,32,25,81,376.1523513717527,24.0,9027.656432922064
Without_import,P_ansatz,qiskit_ansatz,11,8,46,28,19,74,314.3466359948253,19.25,6051.172742900387
Without_import,P_ansatz,qsharp_ansatz,13,11,58,28,24,86,394.3067750620194,16.545454545454547,6523.9848237534125
Without_import,qaoa,cirq_qaoa,17,16,54,34,33,88,443.9066825035439,18.0625,8018.064452720261
Without_import,qaoa,pennylane_qaoa,19,11,44,27,30,71,348.3892322882048,23.31818181818182,8123.80346199314
Without_import,qaoa,qiskit_qaoa,16,10,44,25,26,69,324.33034055173533,20.0,6486.606811034707
Without_import,qaoa,qsharp_qaoa,13,11,58,28,24,86,394.3067750620194,16.545454545454547,6523.9848237534125
Without_import,QFT,cirq_qft,13,11,85,51,24,136,623.5549000980773,30.13636363636364,18791.67721659206
Without_import,QFT,pennylane_qft,16,12,63,43,28,106,509.57962173810597,28.666666666666668,14607.949156492372
Without_import,QFT,qiskit_qft,12,9,61,42,21,103,452.40869454621236,28.0,12667.443447293947
Without_import,QFT,qsharp_qft,16,10,96,31,26,127,596.9558442039187,24.8,14804.504936257183
Without_import,teleport,cirq_teleport,15,11,96,49,26,145,681.5637591304583,33.40909090909091,22770.425589131217
Without_import,teleport,pennylane_teleport,16,13,63,42,29,105,510.08800448839503,25.846153846153847,13183.81303908467
Without_import,teleport,qiskit_teleport,15,8,86,52,23,138,624.2515499358678,48.75,30432.263059373556
Without_import,teleport,qsharp_teleport,18,11,84,34,29,118,573.2417574250535,27.818181818181817,15946.543433824214
